Name,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,49,33,11,290,42,13.18,0,0,93.24,19,NA
Separamadu Lasith Malinga Swarnajith,191,96,29,475,56,7.08,0,1,76.36,28,NA
Shakib Al Hasan,157,149,24,4398,134,35.18,6,30,80.29,39,NA
Shane Edward Bond,82,40,22,292,31,16.22,0,0,76.04,15,NA
Shane Keith Warne,193,106,28,1016,55,13.02,0,1,72,80,NA
Shane Michael Harwood,1,1,0,0,0,0,0,0,0,0,NA
Shane Robert Watson,190,169,27,5758,185,40.54,9,33,90.46,64,NA
Shanthakumaran Sreesanth,53,21,10,44,10,4,0,0,36.36,7,NA
Shaun Edward Marsh,50,49,2,1857,151,39.51,3,12,77.66,11,NA
Shaun Maclean Pollock,294,196,70,3193,90,25.34,0,13,85.58,104,NA
Shaun William Tait,35,7,5,25,11,12.5,0,0,86.2,8,NA
Shikhar Dhawan,74,73,3,3078,137,43.97,9,17,90.26,34,NA
Shivnarine Chanderpaul,268,251,40,8778,150,41.6,11,59,70.74,73,NA
Shoaib Akhtar,158,80,39,361,43,8.8,0,0,70.92,20,NA
Shoaib Malik,232,209,31,6129,143,34.43,8,35,80.64,81,NA
Simon Mathew Katich,45,42,5,1324,107,35.78,1,9,68.74,13,NA
Sohail Tanvir,62,40,11,399,59,13.75,0,1,87.11,15,NA
Sourav Chandidas Ganguly,308,297,23,11221,183,40.95,22,71,73.65,99,NA
Sridharan Sriram,8,7,1,81,57,13.5,0,1,60,1,NA
Stephen Paul Fleming,279,268,21,8007,134,32.41,8,49,71.4,132,NA
Steven Peter Devereux Smith,74,61,7,2096,149,38.81,5,9,88.73,42,NA
Stuart Terence Roger Binny,14,11,3,230,77,28.75,0,1,93.49,3,NA
Subramaniam Badrinath,7,6,1,79,27,15.8,0,0,45.93,2,NA
Sudeep Tyagi,4,1,1,1,1,NA,0,0,50,1,NA
Sunil Bandacharya Joshi,69,45,11,584,61,17.17,0,1,89.43,19,NA
Sunil Philip Narine,57,38,9,296,36,10.2,0,0,78.3,12,NA
Suresh Kumar Raina,223,192,35,5568,116,35.46,5,36,93.78,100,NA
Tabraiz Shamsi,1,1,1,0,0,NA,0,0,0,0,NA
Tanmay Mishra,42,40,7,1128,72,34.18,0,8,73.29,16,NA
Tatenda Taibu,149,136,21,3383,107,29.41,2,22,67.8,114,33
Tillakaratne Mudiyanselage Dilshan,327,300,41,10216,161,39.44,22,47,86.34,119,1
Timothy David Paine,26,26,1,737,111,29.48,1,5,68.87,35,4
Timothy Grant Southee,99,54,19,384,32,10.97,0,0,97.21,23,NA
Trent Alexander Boult,32,12,8,58,21,14.5,0,0,80.55,5,NA
Umar Gul,126,64,17,451,39,9.59,0,0,70.57,15,NA
Umeshkumar Tilak Yadav,57,19,12,52,17,7.42,0,0,55.31,15,NA
Usman Tariq Khawaja,7,7,1,137,50,22.83,0,1,80.58,2,NA
Vangipurappu Venkata Sai Laxman,86,83,7,2338,131,30.76,6,10,71.23,39,NA
Varun Raymond Aaron,9,3,2,8,6,8,0,0,53.33,1,NA
Vikram Rajvir Singh,2,1,0,8,8,8,0,0,61.53,3,NA
Virat Kohli,171,163,23,7212,183,51.51,25,36,89.97,83,NA
Virender Sehwag,241,235,9,7995,219,35.37,15,37,104.44,90,NA
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,321,219,72,2018,50,13.72,0,1,72.56,59,NA
Wasim Jaffer,2,2,0,10,10,5,0,0,43.47,0,NA
Wayne Dillon Parnell,47,26,9,375,56,22.05,0,1,76.37,5,NA
Wriddhaman Prasanta Saha,9,5,2,41,16,13.66,0,0,73.21,17,1
Yalaka Venugopal Rao,16,11,2,218,61,24.22,0,1,60.05,5,NA
Yusuf Khan Pathan,57,41,11,810,123,27,2,3,113.6,17,NA
Yuvraj Singh,290,265,38,8237,139,36.28,13,51,86.97,92,NA
Zaheer Khan,194,96,31,753,34,11.58,0,0,72.33,43,NA
